Page,ID,Result,England,France,Italy,Germany,Austria,Turkey,Russia
5,185839,1,0,0,0,0,0,0,1
5,186574,1,0,0,0,1,0,0,0
5,190268,1,1,0,0,0,0,0,0
5,189324,2,2,0,0,0,0,0,2
5,189322,1,0,1,0,0,0,0,0
5,189838,1,0,0,0,1,0,0,0
5,190466,1,1,0,0,0,0,0,0
5,190023,2,2,2,0,0,0,0,0
6,189831,2,2,0,0,0,0,0,2
6,190669,7,7,7,7,7,7,7,7
6,189398,1,0,0,0,0,0,1,0
6,187138,1,0,1,0,0,0,0,0
6,186374,1,1,0,0,0,0,0,0
6,190367,2,0,2,0,0,2,0,0
6,190503,1,0,0,0,1,0,0,0
6,190342,6,6,6,0,6,6,6,6
6,188085,1,0,0,0,1,0,0,0
6,189917,1,0,0,0,1,0,0,0
6,188962,1,0,0,0,0,1,0,0
6,190388,1,0,0,0,1,0,0,0
6,187072,1,0,0,0,0,0,1,0
6,190264,1,0,0,0,0,1,0,0
7,189896,1,0,1,0,0,0,0,0
7,188562,1,0,0,0,0,0,0,1
7,190617,7,7,7,7,7,7,7,7
7,185056,1,0,1,0,0,0,0,0
7,190599,3,0,0,3,3,3,0,0
7,188146,2,0,0,0,2,2,0,0
7,189210,6,6,6,0,6,6,6,6
7,189895,3,0,3,3,0,0,0,3
7,189561,3,0,3,0,3,0,0,3
7,190258,1,0,0,0,0,1,0,0
7,190387,6,6,6,0,6,6,6,6
7,186474,2,0,2,0,0,0,0,2
7,190482,2,0,2,0,0,0,2,0
8,190576,1,0,1,0,0,0,0,0
8,188566,2,0,0,0,0,2,2,0
8,190558,4,4,4,0,0,0,4,4
8,188448,2,2,0,0,0,0,0,2
8,189304,3,0,3,3,0,0,0,3
8,190194,1,0,0,0,0,1,0,0
8,190547,1,0,0,0,0,1,0,0
8,187568,3,3,3,0,0,3,0,0
8,189192,3,3,0,3,0,0,3,0
8,187299,1,0,1,0,0,0,0,0
8,189428,1,0,0,0,1,0,0,0
8,187393,1,0,0,0,0,1,0,0
9,189146,1,0,0,0,0,0,0,1
9,189707,1,0,0,0,0,0,1,0
9,189650,4,4,4,0,0,0,4,4
9,190073,4,4,4,4,0,4,0,0
9,189371,2,2,0,0,2,0,0,0
9,189807,3,0,3,0,3,0,0,3
9,188600,1,0,0,0,0,0,1,0
9,189448,3,3,3,0,0,3,0,0
9,189692,2,2,0,0,0,0,2,0
9,184325,2,2,0,0,2,0,0,0
10,188685,1,0,0,0,0,0,0,1
10,189737,1,0,0,0,0,0,0,1
10,188647,1,0,0,0,0,0,1,0
10,189478,2,2,2,0,0,0,0,0
10,189348,1,0,1,0,0,0,0,0
10,189936,2,0,0,0,0,0,2,2
10,190456,6,6,6,0,6,6,6,6
10,189323,1,0,0,0,0,1,0,0
10,190074,4,0,4,4,4,0,0,4
10,190302,1,0,0,0,0,1,0,0
10,187807,3,0,3,3,0,0,3,0
11,189981,3,0,0,0,3,0,3,3
11,189181,3,0,3,0,0,0,3,3
11,186627,1,0,0,0,1,0,0,0
11,189045,3,3,3,0,3,0,0,0
11,186789,4,0,0,4,4,4,0,4
11,188981,2,2,0,0,2,0,0,0
11,188232,1,0,0,0,0,0,1,0
11,190122,1,0,0,0,0,0,0,1
11,189730,1,0,0,0,1,0,0,0
11,188675,1,0,0,0,0,0,1,0
11,189951,1,0,0,0,0,0,0,1
11,188992,1,0,0,0,0,0,0,1
11,188689,1,0,0,0,1,0,0,0
12,189377,1,0,0,0,0,1,0,0
12,190317,1,0,0,0,1,0,0,0
12,190279,1,0,1,0,0,0,0,0
12,189385,1,0,0,0,0,0,1,0
12,189090,5,5,5,5,0,0,5,5
12,187357,1,0,0,0,0,1,0,0
12,186069,1,0,0,0,0,0,0,1
12,190334,1,1,0,0,0,0,0,0
12,189743,1,0,1,0,0,0,0,0
12,187607,1,0,0,0,0,1,0,0
12,189501,3,3,0,0,3,3,0,0
12,188867,3,0,3,0,0,0,3,3
12,184276,3,0,3,0,3,0,3,0
12,189630,3,0,3,0,0,0,3,3
13,186754,1,0,1,0,0,0,0,0
13,188905,3,3,0,0,3,0,3,0
13,187021,5,5,0,5,5,5,0,5
13,189464,1,1,0,0,0,0,0,0
13,189204,1,0,0,0,0,0,1,0
13,188952,2,2,0,0,0,2,0,0
13,190005,1,0,0,1,0,0,0,0
13,185465,3,0,0,3,3,3,0,0
13,187798,2,0,0,0,2,0,2,0
13,189938,2,0,0,2,0,2,0,0
13,188913,1,1,0,0,0,0,0,0
13,190043,6,6,6,0,6,6,6,6
13,190261,1,0,0,0,0,1,0,0
14,189613,3,0,3,0,3,3,0,0
14,190266,5,5,5,0,5,5,5,0
14,188743,3,0,0,0,3,3,0,3
14,189397,3,3,3,3,0,0,0,0
14,189742,5,5,5,5,5,0,5,0
14,182520,3,3,0,3,0,0,3,0
14,190241,6,6,6,0,6,6,6,6
14,189729,1,0,0,0,0,0,0,1
14,188875,3,0,3,0,3,3,0,0
14,189418,4,4,4,0,4,0,4,0
14,189191,2,0,0,0,0,0,2,2
14,188925,1,1,0,0,0,0,0,0
14,189842,1,1,0,0,0,0,0,0
15,189879,1,0,0,0,0,1,0,0
15,190001,1,1,0,0,0,0,0,0
15,190079,1,1,0,0,0,0,0,0
15,189104,1,0,0,0,0,1,0,0
15,188872,3,3,0,3,0,3,0,0
15,190163,1,1,0,0,0,0,0,0
15,186421,1,0,0,0,0,0,1,0
15,189250,1,0,0,0,0,0,1,0
15,189381,1,1,0,0,0,0,0,0
15,186911,1,0,0,0,0,0,1,0
15,190169,1,1,0,0,0,0,0,0
15,190166,1,0,0,0,0,1,0,0
15,189955,7,7,7,7,7,7,7,7
16,188141,2,2,2,0,0,0,0,0
16,187945,2,0,0,2,2,0,0,0
16,190148,2,0,2,0,0,2,0,0
16,189379,2,0,0,0,0,2,0,2
16,186161,1,0,0,0,0,1,0,0
16,188230,1,0,0,0,1,0,0,0
16,189721,2,2,2,0,0,0,0,0
16,187732,1,0,0,0,0,0,1,0
16,188900,3,0,3,0,0,0,3,3
16,189875,1,1,0,0,0,0,0,0
16,188927,1,0,0,1,0,0,0,0
16,188701,3,0,3,3,0,0,3,0
16,188851,1,0,0,0,0,0,0,1
16,189922,5,5,5,0,5,5,5,0
17,188180,1,0,0,0,0,0,0,1
17,189080,1,0,1,0,0,0,0,0
17,189929,7,7,7,7,7,7,7,7
17,189753,2,2,0,0,2,0,0,0
17,189823,1,0,0,0,1,0,0,0
17,188773,3,3,0,3,0,0,3,0
17,190060,6,6,6,0,6,6,6,6
17,190036,6,6,6,0,6,6,6,6
17,189565,3,0,0,0,3,3,3,0
17,189785,1,0,0,0,0,1,0,0
18,190003,6,6,6,0,6,6,6,6
18,189811,2,0,0,2,0,0,0,2
18,189634,1,1,0,0,0,0,0,0
18,188912,1,0,0,0,1,0,0,0
18,188829,1,0,0,0,0,1,0,0
18,187005,1,0,0,0,0,1,0,0
18,189584,1,1,0,0,0,0,0,0
18,189088,1,0,0,1,0,0,0,0
18,189138,1,0,0,0,0,0,0,1
18,188468,2,0,2,0,2,0,0,0
18,189267,1,0,0,0,0,0,0,1
19,186262,1,0,0,0,0,0,1,0
19,189269,2,0,2,0,0,0,2,0
19,189943,4,4,0,0,4,0,4,4
19,189170,1,0,0,0,0,1,0,0
19,188814,3,0,0,0,3,3,0,3
19,189910,2,0,2,0,2,0,0,0
19,189712,3,3,0,0,3,0,3,0
19,186783,1,1,0,0,0,0,0,0
19,188395,3,3,3,3,0,0,0,0
19,188491,1,1,0,0,0,0,0,0
19,189907,7,7,7,7,7,7,7,7
19,189473,1,0,0,0,0,0,1,0
19,189906,1,0,0,0,0,1,0,0
20,188331,1,0,0,0,1,0,0,0
20,188120,1,0,1,0,0,0,0,0
20,189786,3,0,0,3,3,3,0,0
20,189841,1,0,0,0,0,0,0,1
20,189149,1,0,0,0,0,0,0,1
20,187471,3,0,3,0,3,3,0,0
20,189472,1,1,0,0,0,0,0,0
20,189081,1,0,0,0,1,0,0,0
20,189282,3,3,0,3,0,0,0,3
20,188713,3,0,0,3,3,3,0,0
20,188854,4,0,4,4,4,0,4,0
20,187111,4,0,0,0,4,4,4,4
20,186696,2,0,2,0,2,0,0,0
20,189410,1,0,0,0,1,0,0,0
21,189828,1,0,0,0,0,0,1,0
21,188584,5,0,5,5,5,0,5,5
21,189433,5,5,5,5,5,0,5,0
21,188178,1,0,0,0,1,0,0,0
21,183784,1,0,1,0,0,0,0,0
21,188386,1,0,0,0,0,0,0,1
21,188431,2,2,0,0,0,2,0,0
21,188345,1,0,1,0,0,0,0,0
21,189507,3,3,3,0,0,3,0,0
21,189817,3,3,0,0,3,3,0,0
22,187331,1,0,0,0,1,0,0,0
22,189573,1,0,0,0,0,0,0,1
22,187317,2,2,0,2,0,0,0,0
22,188541,4,4,0,4,4,0,4,0
22,187008,2,0,0,0,0,2,0,2
22,185060,3,0,0,3,3,0,0,3
22,188819,1,0,0,0,1,0,0,0
22,189384,1,1,0,0,0,0,0,0
22,188015,3,0,3,3,0,0,0,3
22,187281,1,0,1,0,0,0,0,0
22,189095,2,0,0,0,0,2,2,0
22,189211,1,0,1,0,0,0,0,0
23,188893,6,6,0,6,6,6,6,6
23,189664,1,1,0,0,0,0,0,0
23,188834,1,0,1,0,0,0,0,0
23,187353,3,0,3,3,0,3,0,0
23,189074,1,1,0,0,0,0,0,0
23,189689,6,6,6,0,6,6,6,6
23,187989,3,0,3,3,0,0,0,3
23,186034,1,0,0,0,1,0,0,0
23,189238,1,0,0,0,0,1,0,0
23,189100,4,0,0,4,4,0,4,4
23,188064,1,0,0,1,0,0,0,0
23,189091,1,0,0,0,0,0,0,1
23,184363,2,0,0,0,0,0,2,2
24,188095,5,5,5,5,0,0,5,5
24,187452,1,0,0,0,0,0,0,1
24,189635,7,7,7,7,7,7,7,7
24,187986,3,0,3,3,0,3,0,0
24,188287,2,0,2,2,0,0,0,0
24,189682,1,1,0,0,0,0,0,0
24,188724,1,0,1,0,0,0,0,0
24,187433,2,2,2,0,0,0,0,0
24,188588,2,0,0,2,2,0,0,0
24,187460,1,0,0,0,0,1,0,0
24,188191,3,0,3,0,3,0,3,0
24,186604,4,0,4,4,0,0,4,4
25,188723,1,0,1,0,0,0,0,0
25,188112,3,0,0,0,3,3,3,0
25,189471,1,0,0,0,0,1,0,0
25,189041,1,0,0,0,1,0,0,0
25,188920,2,0,0,0,2,0,2,0
25,188827,1,0,0,0,1,0,0,0
25,186383,5,5,0,5,5,5,5,0
25,187605,1,0,1,0,0,0,0,0
25,188883,1,0,1,0,0,0,0,0
25,187985,1,0,0,0,0,0,1,0
25,186471,4,4,4,0,0,4,4,0
26,189137,2,0,0,0,0,0,2,2
26,189055,1,0,1,0,0,0,0,0
26,189612,4,4,4,0,4,0,4,0
26,187745,1,0,0,0,0,0,1,0
26,189183,4,0,0,4,4,0,4,4
26,189195,1,1,0,0,0,0,0,0
26,188567,3,3,0,0,3,3,0,0
26,189543,1,0,0,0,0,1,0,0
26,188843,3,3,0,3,0,0,3,0
27,188578,1,1,0,0,0,0,0,0
27,189335,1,1,0,0,0,0,0,0
27,189042,1,1,0,0,0,0,0,0
27,186947,1,1,0,0,0,0,0,0
27,189503,4,4,4,0,0,0,4,4
27,189294,1,1,0,0,0,0,0,0
27,189556,1,1,0,0,0,0,0,0
27,189474,4,0,4,4,0,0,4,4
27,188778,1,0,0,0,0,0,0,1
27,188942,1,0,1,0,0,0,0,0
27,187893,1,0,1,0,0,0,0,0
27,189540,1,0,0,0,0,1,0,0
27,186776,1,0,1,0,0,0,0,0
27,189417,1,0,1,0,0,0,0,0
28,189102,1,0,1,0,0,0,0,0
28,187273,3,0,3,0,3,0,3,0
28,186904,4,4,0,4,4,4,0,0
28,187349,3,0,3,0,3,0,3,0
28,188281,2,0,0,0,0,2,2,0
28,189151,1,1,0,0,0,0,0,0
28,189482,7,7,7,7,7,7,7,7
28,186390,3,0,0,3,3,0,3,0
28,188256,3,3,0,0,3,0,3,0
28,188273,2,0,2,0,0,0,0,2
28,189231,1,0,0,0,0,1,0,0
29,188025,3,3,3,0,0,0,0,3
29,188050,3,0,3,0,0,0,3,3
29,186718,1,0,0,0,0,0,0,1
29,188817,1,0,1,0,0,0,0,0
29,188783,4,4,4,0,4,0,4,0
29,189409,1,1,0,0,0,0,0,0
29,189200,1,1,0,0,0,0,0,0
29,188795,1,0,0,0,0,1,0,0
30,188236,1,0,0,1,0,0,0,0
30,189196,1,0,0,0,0,1,0,0
30,189207,1,1,0,0,0,0,0,0
30,188215,1,1,0,0,0,0,0,0
30,187824,3,0,0,3,3,3,0,0
30,186824,5,5,5,0,5,0,5,5
30,189416,3,3,3,0,0,0,0,3
30,188736,2,0,2,0,0,0,0,2
30,187441,1,1,0,0,0,0,0,0
30,186410,3,3,3,0,0,3,0,0
30,188737,3,3,3,0,0,0,3,0
30,187844,1,0,0,0,0,0,1,0
30,182261,1,1,0,0,0,0,0,0
31,189403,6,6,6,0,6,6,6,6
31,187208,4,0,4,0,4,4,4,0
31,188004,1,0,0,0,0,0,1,0
31,186079,1,0,0,0,0,0,0,1
31,186716,3,0,3,0,0,0,3,3
31,187867,3,0,3,0,0,3,0,3
31,188696,1,0,0,0,0,0,1,0
31,187653,1,0,0,0,0,0,0,1
31,188320,1,0,1,0,0,0,0,0
31,187744,3,3,0,0,0,3,3,0
31,187506,3,3,3,0,0,3,0,0
31,186470,1,1,0,0,0,0,0,0
31,188352,3,0,0,0,3,0,3,3
31,188730,1,0,0,0,0,0,0,1
31,189140,2,0,2,0,0,2,0,0
32,186907,3,3,3,3,0,0,0,0
32,185778,1,0,0,0,0,0,1,0
32,188217,1,0,0,0,1,0,0,0
32,183836,1,0,0,1,0,0,0,0
32,187538,5,5,5,0,0,5,5,5
32,187075,3,3,0,0,3,0,3,0
32,188354,1,0,0,0,0,0,1,0
32,188564,1,0,1,0,0,0,0,0
32,188754,1,0,0,0,0,0,0,1
32,186017,3,3,0,0,3,3,0,0
32,189111,1,1,0,0,0,0,0,0
33,188159,6,6,6,0,6,6,6,6
33,189214,1,1,0,0,0,0,0,0
33,187847,3,3,3,0,0,0,3,0
33,189002,3,3,0,0,3,3,0,0
33,189120,1,0,0,0,0,1,0,0
33,184308,1,0,0,0,1,0,0,0
33,188535,1,0,0,0,1,0,0,0
33,188774,1,1,0,0,0,0,0,0
33,189154,6,6,6,0,6,6,6,6
33,187143,4,0,4,0,4,4,0,4
33,189057,1,0,0,0,0,1,0,0
33,188658,1,0,0,0,0,0,0,1
33,188482,4,0,4,0,4,0,4,4
34,188428,1,0,0,0,0,0,1,0
34,188307,4,0,4,4,4,4,0,0
34,185941,3,3,3,3,0,0,0,0
34,187593,4,4,0,4,4,0,4,0
34,186972,2,0,0,2,0,2,0,0
34,189032,1,0,0,0,0,1,0,0
34,188931,7,7,7,7,7,7,7,7
34,188505,2,0,2,2,0,0,0,0
34,188990,2,0,0,2,0,0,0,2
34,184241,2,2,2,0,0,0,0,0
34,188869,6,6,6,0,6,6,6,6
35,188686,4,0,0,4,4,0,4,4
35,186726,4,4,0,4,0,4,0,4
35,186868,2,0,0,0,0,2,0,2
35,186925,1,0,0,0,0,1,0,0
35,188846,6,6,6,0,6,6,6,6
35,188138,1,0,0,0,0,1,0,0
35,187625,3,0,3,3,0,3,0,0
35,187405,3,3,0,3,3,0,0,0
35,186599,3,3,0,0,0,0,3,3
35,188906,6,6,6,0,6,6,6,6
35,188833,1,1,0,0,0,0,0,0
35,188661,1,0,0,0,0,1,0,0
35,187917,4,4,0,0,0,4,4,4
36,187512,1,0,0,0,0,0,1,0
36,188196,1,0,0,0,0,0,1,0
36,187828,3,3,0,3,0,0,3,0
36,186722,3,3,0,3,0,3,0,0
36,186453,1,1,0,0,0,0,0,0
36,188063,1,0,1,0,0,0,0,0
36,182194,5,5,0,5,5,5,5,0
36,185152,1,0,0,0,1,0,0,0
36,185542,2,2,0,0,0,2,0,0
37,188075,2,0,0,2,0,0,0,2
37,187887,5,0,5,5,5,5,0,5
37,189003,7,7,7,7,7,7,7,7
37,186565,2,0,2,0,0,0,2,0
37,187295,3,0,0,0,3,3,3,0
37,188848,1,1,0,0,0,0,0,0
37,188705,3,0,3,0,0,3,0,3
37,186879,1,0,0,0,0,0,1,0
37,188405,1,0,1,0,0,0,0,0
37,187817,1,0,0,1,0,0,0,0
37,187716,1,0,0,0,1,0,0,0
37,187975,3,0,0,3,3,3,0,0
38,188628,1,0,1,0,0,0,0,0
38,187382,4,0,4,4,0,0,4,4
38,188988,1,1,0,0,0,0,0,0
38,188984,5,5,5,0,5,5,5,0
38,188292,1,0,1,0,0,0,0,0
38,185749,1,0,0,0,0,0,1,0
38,188251,2,0,0,2,0,0,2,0
38,187039,3,0,0,3,3,0,3,0
39,186753,2,0,0,0,2,2,0,0
39,184192,1,0,0,1,0,0,0,0
39,188315,1,0,0,0,0,0,0,1
39,187511,4,0,4,4,4,0,4,0
39,187470,3,3,0,0,3,0,3,0
39,188837,1,1,0,0,0,0,0,0
39,187885,3,3,0,0,3,3,0,0
39,186580,2,2,2,0,0,0,0,0
39,186319,4,4,4,0,0,4,0,4
39,188901,1,0,0,0,0,1,0,0
39,188865,7,7,7,7,7,7,7,7
40,188371,1,0,0,0,1,0,0,0
40,187980,1,0,0,0,0,1,0,0
40,187093,3,3,0,0,0,3,0,3
40,187992,1,0,1,0,0,0,0,0
40,187493,1,0,0,0,0,0,1,0
40,188243,1,1,0,0,0,0,0,0
40,186066,2,0,0,0,0,2,2,0
40,186595,1,1,0,0,0,0,0,0
40,188059,1,1,0,0,0,0,0,0
40,187773,1,0,1,0,0,0,0,0
40,186679,1,0,0,0,0,0,1,0
40,187632,3,3,0,0,3,0,3,0
40,186321,5,5,5,5,0,0,5,5
41,187314,3,3,0,3,0,0,0,3
41,188091,3,3,0,0,3,0,3,0
41,188024,1,0,0,0,1,0,0,0
41,187587,2,2,2,0,0,0,0,0
41,188430,1,0,0,0,0,0,0,1
41,188771,6,6,6,0,6,6,6,6
41,188336,1,0,0,0,0,0,0,1
41,187054,3,0,3,0,3,3,0,0
41,187794,1,0,0,0,0,1,0,0
41,187324,3,0,0,3,3,3,0,0
41,188524,4,0,4,4,0,0,4,4
41,188520,2,0,0,0,0,0,2,2
41,186910,1,0,1,0,0,0,0,0
41,188466,1,0,0,0,0,0,0,1
41,187356,1,0,0,0,0,0,0,1
42,185825,1,0,0,0,0,1,0,0
42,188337,3,3,0,0,3,3,0,0
42,188332,3,3,3,0,0,3,0,0
42,184464,3,0,0,0,3,3,0,3
42,188210,1,0,0,0,0,0,0,1
42,187603,4,0,0,4,4,0,4,4
42,187099,3,0,3,0,3,0,3,0
42,187515,2,0,0,0,2,0,2,0
42,187560,2,2,2,0,0,0,0,0
42,186829,5,0,5,5,5,5,5,0
42,188455,1,0,0,0,0,0,0,1
42,183476,3,3,3,0,0,0,3,0
42,187336,2,0,2,0,0,0,2,0
42,188641,6,6,6,0,6,6,6,6
43,186609,1,0,1,0,0,0,0,0
43,188205,2,0,2,0,0,2,0,0
43,187693,3,0,3,0,3,0,3,0
43,187350,4,4,4,4,0,0,4,0
43,188656,1,1,0,0,0,0,0,0
43,188265,2,2,0,0,0,0,2,0
43,187496,4,4,4,4,0,4,0,0
43,188676,1,1,0,0,0,0,0,0
43,187976,3,3,0,0,3,0,3,0
43,186473,2,0,2,0,0,0,2,0
43,186926,1,0,0,0,0,0,0,1
43,188338,1,0,0,0,0,0,1,0
44,188201,3,3,0,0,3,3,0,0
44,188598,1,1,0,0,0,0,0,0
44,188264,1,0,0,0,1,0,0,0
44,187859,1,0,0,0,1,0,0,0
44,188140,3,3,0,0,3,0,3,0
44,187211,3,0,3,0,3,3,0,0
44,188185,1,0,0,0,0,0,1,0
44,187435,4,0,4,4,0,4,0,4
44,187741,3,0,3,3,0,3,0,0
44,188582,7,7,7,7,7,7,7,7
44,181978,1,1,0,0,0,0,0,0
45,188370,4,4,4,4,0,4,0,0
45,188333,1,1,0,0,0,0,0,0
45,184628,1,0,0,0,1,0,0,0
45,187129,1,0,0,0,0,0,1,0
45,183555,2,0,0,2,0,0,0,2
45,187944,1,0,0,0,0,1,0,0
45,188464,1,1,0,0,0,0,0,0
45,187683,3,0,0,0,3,3,3,0
45,188556,1,1,0,0,0,0,0,0
45,187228,1,0,0,0,0,1,0,0
46,188349,1,0,1,0,0,0,0,0
46,184380,3,3,3,3,0,0,0,0
46,188560,7,7,7,7,7,7,7,7
46,187306,2,0,2,0,0,2,0,0
46,187606,1,0,0,1,0,0,0,0
46,187947,2,0,0,0,0,2,0,2
46,186452,5,5,5,5,0,0,5,5
46,188304,1,1,0,0,0,0,0,0
46,186889,1,0,0,0,0,0,0,1
46,187280,1,0,0,0,0,1,0,0
46,188219,6,6,6,0,6,6,6,6
46,186092,4,4,4,4,0,4,0,0
46,187346,2,0,0,0,0,0,2,2
46,186516,1,0,0,0,0,0,1,0
47,187161,1,0,1,0,0,0,0,0
47,187275,1,0,0,0,0,1,0,0
47,188483,4,0,4,4,0,4,0,4
47,188486,6,6,6,0,6,6,6,6
47,187354,1,1,0,0,0,0,0,0
47,185119,2,0,0,0,0,0,2,2
47,187634,1,0,0,0,0,0,1,0
47,183382,1,0,0,0,0,1,0,0
47,188334,1,1,0,0,0,0,0,0
47,187690,1,0,0,0,0,1,0,0
47,186122,1,0,0,0,0,1,0,0
47,188437,1,1,0,0,0,0,0,0
48,187286,3,0,0,3,3,0,0,3
48,187380,4,4,4,0,4,0,0,4
48,185332,1,0,0,0,0,0,1,0
48,187062,3,3,3,3,0,0,0,0
48,185780,1,0,0,0,0,0,0,1
48,188403,1,0,0,0,0,1,0,0
48,186555,1,0,0,0,0,1,0,0
48,187542,1,0,0,0,0,0,1,0
48,186637,2,0,2,2,0,0,0,0
48,186934,3,0,0,3,3,0,3,0
48,187981,2,2,2,0,0,0,0,0
48,185646,1,0,0,0,1,0,0,0
48,188197,1,0,0,0,0,1,0,0
49,186540,3,0,0,0,3,0,3,3
49,184721,1,0,0,0,0,0,0,1
49,186600,1,0,0,0,1,0,0,0
49,187527,5,5,0,0,5,5,5,5
49,186162,3,3,0,3,0,3,0,0
49,185999,3,3,3,3,0,0,0,0
49,186899,2,0,0,0,2,0,2,0
49,188214,1,1,0,0,0,0,0,0
49,188297,1,0,1,0,0,0,0,0
49,185588,2,0,0,2,0,0,2,0
49,187029,1,0,0,0,0,0,1,0
49,186435,1,0,0,0,1,0,0,0
49,187076,2,0,0,0,2,0,0,2
50,185100,1,0,0,0,0,0,0,1
50,186346,3,0,3,3,3,0,0,0
50,187498,1,0,0,0,0,1,0,0
50,187196,3,0,3,0,3,0,3,0
50,187742,1,0,0,0,0,1,0,0
50,186186,4,0,4,0,4,4,0,4
50,188181,1,1,0,0,0,0,0,0
50,185377,1,0,0,0,1,0,0,0
50,187563,2,2,0,0,0,0,2,0
50,188213,1,1,0,0,0,0,0,0
50,185552,1,0,1,0,0,0,0,0
50,188200,1,1,0,0,0,0,0,0
50,187003,1,1,0,0,0,0,0,0
50,186584,3,0,0,3,3,0,3,0
51,186773,1,0,0,0,0,0,1,0
51,188103,3,3,3,0,3,0,0,0
51,181097,1,0,0,0,0,0,1,0
51,186680,1,0,0,1,0,0,0,0
51,188072,1,1,0,0,0,0,0,0
51,188198,6,6,6,0,6,6,6,6
51,182196,1,0,1,0,0,0,0,0
51,188070,1,1,0,0,0,0,0,0
51,187321,1,1,0,0,0,0,0,0
51,186611,3,0,0,3,0,3,0,3
51,184548,3,0,0,0,3,3,3,0
52,185887,2,2,0,0,0,2,0,0
52,187192,3,0,3,3,3,0,0,0
52,188119,1,1,0,0,0,0,0,0
52,186087,2,0,0,2,0,0,2,0
52,187692,2,0,0,2,0,0,0,2
52,186975,1,1,0,0,0,0,0,0
52,187332,1,0,0,0,0,1,0,0
52,188151,1,0,0,0,0,1,0,0
52,185248,1,1,0,0,0,0,0,0
52,187388,2,2,0,0,0,0,0,2
52,185281,1,1,0,0,0,0,0,0
53,187674,1,0,0,0,0,0,0,1
53,185247,1,0,0,0,1,0,0,0
53,187760,1,0,0,0,1,0,0,0
53,187531,1,0,0,0,0,0,0,1
53,186891,2,0,0,0,0,2,2,0
53,187252,1,0,0,1,0,0,0,0
53,187404,1,1,0,0,0,0,0,0
53,184517,2,0,0,2,2,0,0,0
53,187233,1,0,0,0,0,1,0,0
53,187082,5,5,0,5,5,0,5,5
53,188134,6,6,6,6,6,6,6,0
53,185435,3,3,0,0,3,0,3,0
54,186804,1,0,0,0,1,0,0,0
54,188127,7,7,7,7,7,7,7,7
54,187739,5,5,5,5,5,0,0,5
54,185323,3,0,0,3,3,0,3,0
54,187864,1,1,0,0,0,0,0,0
54,187041,1,0,1,0,0,0,0,0
54,188071,1,0,0,0,0,0,1,0
54,188060,3,3,0,3,0,0,0,3
54,186509,2,2,0,0,2,0,0,0
54,186047,5,5,5,5,5,5,0,0
54,184774,3,3,0,0,3,0,0,3
54,188044,7,7,7,7,7,7,7,7
55,185101,5,5,5,5,5,0,5,0
55,184973,1,0,0,0,0,0,0,1
55,182351,3,3,0,3,0,0,3,0
55,187911,2,2,0,0,0,0,2,0
55,185378,1,1,0,0,0,0,0,0
55,186745,1,0,0,0,0,0,1,0
55,186343,1,0,0,0,0,0,0,1
55,186454,1,0,0,0,0,1,0,0
55,186495,3,3,3,0,0,3,0,0
55,186525,2,2,2,0,0,0,0,0
55,187999,1,0,1,0,0,0,0,0
55,185962,6,6,6,0,6,6,6,6
55,187972,5,5,5,0,5,0,5,5
56,186581,1,0,1,0,0,0,0,0
56,183854,1,0,0,0,0,0,1,0
56,186618,2,2,2,0,0,0,0,0
56,185921,3,0,3,3,0,0,3,0
